,Accuracy,Precision,Recall,F1,ROC-AUC,ROC-AUC_std,PR-AUC,fit_seconds
HistGradientBoosting,0.7610545246208439,0.47035967157074066,0.6348035850834919,0.5403437742551285,0.7869188314499789,0.00832080655930966,0.5626798233800014,22.69548773765564
Random Forest,0.785708221477751,0.5142425065371704,0.57560364910284,0.5431485901944368,0.7839561282324352,0.009669270845329805,0.5542575400350738,26.979061365127563
Decision Tree,0.75275241949552,0.4617021978011023,0.6353626873899667,0.5326083988434871,0.7766167656854572,0.005154346269678991,0.5289522442087549,1.9824225902557373
Logistic Regression,0.7562570783865651,0.46181427489644467,0.613875660199527,0.5270715162122726,0.7666259824078234,0.010002476686623286,0.5053179399977288,1.3364801406860352
Baseline (Majority),0.7787418666798915,0.0,0.0,0.0,0.5,0.0,0.2212581333201086,0.6477196216583252
