Model,class_weight,Precision,Recall,F1,ROC-AUC
Logistic Regression,none,0.6303086493480586,0.3039249195312361,0.40993477252325156,0.7642541271687271
Random Forest,none,0.6604303302462913,0.37292906300570844,0.4765809554235658,0.7832039622309742
HistGradientBoosting,none,0.6722563037408847,0.3597318300641971,0.46847853786511023,0.7861196833039136
Logistic Regression,balanced,0.46181427489644467,0.613875660199527,0.5270715162122726,0.7666259824078234
Random Forest,balanced,0.5142425065371704,0.57560364910284,0.5431485901944368,0.7839561282324352
HistGradientBoosting,balanced,0.47035967157074066,0.6348035850834919,0.5403437742551285,0.7869188314499789
