group,count,share,mean_predicted_prob,LIMIT_BAL,AGE,PAY_0,n_delinquent_months,avg_utilization,avg_pay_ratio,max_delinquency
True Negative (correctly approved),3046,0.5082596362422827,0.25391322480523704,205869.99343401182,35.456992777413,-0.42908732764281027,0.05975049244911359,0.3240039880671539,0.4419519376045921,-0.21405121470781352
False Positive (good customer rejected),1621,0.2704822292674787,0.5835179385179241,126255.39790252931,35.333127698951266,0.14250462677359654,1.3485502776064158,0.38273483673446657,0.3831575013461658,0.9765576804441702
False Negative (defaulter approved),334,0.05573168696812948,0.2939968468091686,179790.41916167663,35.631736526946106,-0.4221556886227545,0.08083832335329341,0.3799884925559523,0.43756337729339895,-0.17664670658682635
True Positive (defaulter caught),992,0.16552644752210913,0.7210285846778393,116683.46774193548,36.409274193548384,1.0161290322580645,2.65625,0.47751863245829884,0.20728354301274557,1.7540322580645162
