feature,importance,std,type
n_delinquent_months,0.030503412652166696,0.0022437161730039837,permutation_roc_auc_drop
PAY_0,0.02654007260631992,0.0034293939512506973,permutation_roc_auc_drop
remaining_credit,0.01182985959955669,0.0018794956425084248,permutation_roc_auc_drop
max_delinquency,0.005030555348179688,0.0009664387188229436,permutation_roc_auc_drop
BILL_AMT1,0.004166121295149816,0.0006259934892171749,permutation_roc_auc_drop
bill_volatility,0.0037429453164463224,0.0006862688846483867,permutation_roc_auc_drop
min_pay_ratio,0.0027678048853006397,0.0006432509094782972,permutation_roc_auc_drop
EDUCATION,0.0019876246719286116,0.0005906293704459798,permutation_roc_auc_drop
PAY_AMT2,0.0010485999545604362,0.0007915908118906785,permutation_roc_auc_drop
pay_ratio_2,0.0010431058415024896,0.00027893284198360563,permutation_roc_auc_drop
max_utilization,0.0009905077885514978,0.0003891154659693253,permutation_roc_auc_drop
utilization_trend,0.0009017455443550481,0.00039916929809625016,permutation_roc_auc_drop
PAY_AMT3,0.0006770524794446287,0.0009312984643208248,permutation_roc_auc_drop
payment_to_limit,0.0006272338013347589,0.00021242937052073135,permutation_roc_auc_drop
util_2,0.0006181361964771703,0.00043838520372285755,permutation_roc_auc_drop
LIMIT_BAL,0.000577657510565599,0.00026413812337568117,permutation_roc_auc_drop
util_4,0.00047653351198890804,0.00012180252618937236,permutation_roc_auc_drop
avg_utilization,0.0004135289625400551,0.00016912882779980187,permutation_roc_auc_drop
util_3,0.0003894195017097424,0.00024734367018673176,permutation_roc_auc_drop
SEX,0.0003792392333966443,7.80099287718331e-05,permutation_roc_auc_drop
avg_pay_ratio,0.00035016891165813303,0.00014578848442474223,permutation_roc_auc_drop
pay_ratio_3,0.00032027447296094634,0.00031125915966329564,permutation_roc_auc_drop
months_no_consumption,0.00029217370058565173,5.8553664652369925e-05,permutation_roc_auc_drop
avg_bill_amt,0.0002767093882433347,0.000714393210392589,permutation_roc_auc_drop
pay_ratio_4,0.00024647560726911435,0.00013213234894015862,permutation_roc_auc_drop
pay_ratio_1,0.00023587520089862757,0.00012444002930665405,permutation_roc_auc_drop
months_paid_full,0.00022120268720295932,0.00020345158716308812,permutation_roc_auc_drop
PAY_AMT5,0.00019174454571919687,0.0001330051722315289,permutation_roc_auc_drop
util_1,0.00015627519818390835,0.00024194929793032747,permutation_roc_auc_drop
PAY_2,8.696857787466871e-05,0.00011686467224798952,permutation_roc_auc_drop
zero_payment_months,6.676963280896064e-05,3.961042606808727e-05,permutation_roc_auc_drop
BILL_AMT4,5.852846322216276e-05,2.9634614595006545e-05,permutation_roc_auc_drop
BILL_AMT6,5.6298499686935345e-05,6.609000793537153e-05,permutation_roc_auc_drop
PAY_4,3.816792659601109e-05,5.036753729523493e-05,permutation_roc_auc_drop
BILL_AMT2,2.373780024107486e-05,0.00019580501138535234,permutation_roc_auc_drop
delinquency_trend,1.179618391833337e-05,3.30784673753975e-05,permutation_roc_auc_drop
pay_ratio_5,1.1602274045618977e-05,3.6526041388162356e-05,permutation_roc_auc_drop
PAY_3,5.4941130577246255e-06,7.571043161713523e-06,permutation_roc_auc_drop
recent_delinquency,0.0,0.0,permutation_roc_auc_drop
MARRIAGE,-9.356151354511511e-06,0.00024233676489381433,permutation_roc_auc_drop
over_limit_months,-2.155631417413151e-05,4.162964924128693e-05,permutation_roc_auc_drop
PAY_5,-2.194413391938266e-05,2.2712991528474572e-05,permutation_roc_auc_drop
PAY_6,-4.686155255235746e-05,4.010737037943517e-05,permutation_roc_auc_drop
PAY_AMT1,-5.877085056313902e-05,0.0007828013201751994,permutation_roc_auc_drop
AGE,-8.210467190299387e-05,0.0002377469035285853,permutation_roc_auc_drop
util_6,-0.00011054478655538879,6.570733706786884e-05,permutation_roc_auc_drop
util_5,-0.00013172944014028243,6.817744227923503e-05,permutation_roc_auc_drop
avg_pay_amt,-0.0001635145000955962,0.0004258817862504491,permutation_roc_auc_drop
BILL_AMT3,-0.00018775323417432598,3.879003306791903e-05,permutation_roc_auc_drop
BILL_AMT5,-0.0002063685819468697,0.0002188968473921803,permutation_roc_auc_drop
PAY_AMT4,-0.0003088176313198909,0.0007316039644964056,permutation_roc_auc_drop
PAY_AMT6,-0.0003306486511468476,0.0002395757402779825,permutation_roc_auc_drop
